CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_AREA_DETALHADA|CO_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|CO_LOCAL_OFERTA_IES|CO_MUNICIPIO_CURSO|NO_MUNICIPIO_CURSO|CO_UF_CURSO|SGL_UF_CURSO|NO_REGIAO_CURSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_DISCIPLINA_LIBRAS|IN_GUIA_INTERPRETE|IN_MATERIAL_LIBRAS|IN_SINTESE_VOZ|IN_TRADUTOR_LIBRAS|IN_INTEGRAL_CURSO|IN_MATUTINO_CURSO|IN_NOTURNO_CURSO|IN_VESPERTINO_CURSO|NU_PERC_CARGA_HOR_DISTANCIA|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|IN_OFERECE_DISC_DISTANCIA|IN_UTILIZA_LABORATORIO|QT_INSCRITOS_ANO_EAD|QT_VAGAS_ANUAL_EAD|QT_VAGAS_INTEGRAL_PRES|QT_VAGAS_MATUTINO_PRES|QT_VAGAS_NOTURNO_PRES|QT_VAGAS_VESPERTINO_PRES|QT_INSCRITOS_MATUTINO_PRES|QT_INSCRITOS_VESPERTINO_PRES|QT_INSCRITOS_NOTURNO_PRES|QT_INSCRITOS_INTEGRAL_PRES|QT_MATRICULA_CURSO|QT_CONCLUINTE_CURSO|QT_INGRESSO_CURSO|QT_INGRESSO_PROCESSO_SELETIVO|QT_INGRESSO_OUTRA_FORMA
575|UNIVERSIDADE FEDERAL DE MINAS GERAIS|1|Pública Federal|1|Universidade|115314|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||2800|25FEB2008:00:00:00||1|0|1|0|0|1|0|0|0|0|0|0|0|0|||||||1|144|50|||||||||85|0|53|51|2
699|FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA|1|Pública Federal|1|Universidade|107866|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|2|1|1|0|||||||3300|03MAR2008:00:00:00||0||||||||||0|0|0|0|||||||0|2121|350|||||||||286|0|186|186|0
367|UNIVERSIDADE ESTADUAL DE MONTES CLAROS|2|Pública Estadual|1|Universidade|120530|ARTES VISUAIS|146F04|Formação de professor de artes visuais|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|2|2|1|1|0|||||||3620|27MAR2009:00:00:00||1|1|0|0|1|0|0|0|1|0|0|0|0|0|||||||1|0|0|||||||||13|0|0|0|0
634|UNIVERSIDADE FEDERAL DE PELOTAS|1|Pública Federal|1|Universidade|1153381|INTERDISCIPLINAR EM EDUCAÇÃO NO CAMPO|144F02|Formação de professor das séries iniciais do ensino fundamental|1|Educação|14|Formação de professor e ciências da educação|144|Formação de professor da educação básica|2|2|1|0|0|||||||3991|||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||0|150|50|||||||||585|0|232|232|0
595|UNIVERSIDADE FEDERAL DE ALFENAS|1|Pública Federal|1|Universidade|122772|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3410|10AUG2009:00:00:00||0||||||||||0|0|0|0|||||||1|231|35|||||||||44|0|22|22|0
398|UNIVERSIDADE TIRADENTES|4|Privada com fins lucrativos|1|Universidade|121227|INFORMÁTICA|146F05|Formação de professor de computação (informática)|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|2|2|1|0|0|||||||2808|24AUG2009:00:00:00||1|1|1|0|0|1|0|0|0|1|0|0|0|0|||||||1|0|0|||||||||498|0|126|123|3
600|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|117318|QUÍMICA|145F21|Formação de professor de química|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3260|02MAR2009:00:00:00||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||0|268|200|||||||||66|0|0|0|0
532|UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL|5|Privada sem fins lucrativos|1|Universidade|90465|SOCIOLOGIA|145F24|Formação de professor de sociologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|0|0|||||||2825|01MAR2006:00:00:00||1|0|0|0|1|1|0|1|1|1|0|0|0|0|||||||1|29|68|||||||||84|8|70|24|46
953|UNIVERSIDADE METROPOLITANA DE SANTOS|5|Privada sem fins lucrativos|1|Universidade|100740|FILOSOFIA|145F08|Formação de professor de filosofia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|0|0|||||||2400|17MAR2006:00:00:00||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||0|1456|1000|||||||||217|55|167|166|1
417|UNIVERSIDADE CIDADE DE SÃO PAULO|4|Privada com fins lucrativos|1|Universidade|120879|LOGÍSTICA|345G13|Gestão logística|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|3|2|1|0|0|||||||1600|02JAN2009:00:00:00||1|1|1|1|1|1|1|1|1|1|0|0|0|0|||||||1|1638|200|||||||||212|0|296|296|0
