NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_LOCAL_OFERTA|CO_UF|CO_MUNICIPIO|IN_CAPITAL|CO_CURSO|NO_CURSO|TP_SITUACAO|CO_CINE_ROTULO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_AMPLIADO|IN_MATERIAL_TATIL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_MATERIAL_LIBRAS|IN_DISCIPLINA_LIBRAS|IN_TRADUTOR_LIBRAS|IN_GUIA_INTERPRETE|IN_RECURSOS_COMUNICACAO|IN_RECURSOS_INFORMATICA|IN_INTEGRAL|IN_MATUTINO|IN_VESPERTINO|IN_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_EAD|IN_OFERECE_DISC_SEMI_PRES|NU_PERC_CARGA_SEMI_PRES|IN_POSSUI_LABORATORIO|QT_INSC_VAGA_NOVA_INTEGRAL|QT_INSC_VAGA_NOVA_MATUTINO|QT_INSC_VAGA_NOVA_VESPERTINO|QT_INSC_VAGA_NOVA_NOTURNO|QT_INSC_VAGA_NOVA_EAD|QT_INSC_VAGA_REMAN_INTEGRAL|QT_INSC_VAGA_REMAN_MATUTINO|QT_INSC_VAGA_REMAN_VESPERTINO|QT_INSC_VAGA_REMAN_NOTURNO|QT_INSC_VAGA_REMAN_EAD|QT_INSC_PROG_ESP_INTEGRAL|QT_INSC_PROG_ESP_MATUTINO|QT_INSC_PROG_ESP_VESPERTINO|QT_INSC_PROG_ESP_NOTURNO|QT_INSC_PROG_ESP_EAD|QT_INSC_PRINCIPAL_INTEGRAL|QT_INSC_PRINCIPAL_MATUTINO|QT_INSC_PRINCIPAL_VESPERTINO|QT_INSC_PRINCIPAL_NOTURNO|QT_INSC_PRINCIPAL_EAD|QT_INSC_OUTRA_VAGA_INTEGRAL|QT_INSC_OUTRA_VAGA_MATUTINO|QT_INSC_OUTRA_VAGA_VESPERTINO|QT_INSC_OUTRA_VAGA_NOTURNO|QT_INSC_OUTRA_VAGA_EAD|QT_INSC_ANUAL_INTEGRAL|QT_INSC_ANUAL_MATUTINO|QT_INSC_ANUAL_VESPERTINO|QT_INSC_ANUAL_NOTURNO|QT_INSC_ANUAL_EAD|QT_VAGAS_NOVAS_INTEGRAL|QT_VAGAS_NOVAS_MATUTINO|QT_VAGAS_NOVAS_VESPERTINO|QT_VAGAS_NOVAS_NOTURNO|QT_VAGAS_NOVAS_EAD|QT_VAGAS_REMAN_INTEGRAL|QT_VAGAS_REMAN_MATUTINO|QT_VAGAS_REMAN_VESPERTINO|QT_VAGAS_REMAN_NOTURNO|QT_VAGAS_REMAN_EAD|QT_VAGAS_PROG_ESP_INTEGRAL|QT_VAGAS_PROG_ESP_MATUTINO|QT_VAGAS_PROG_ESP_VESPERTINO|QT_VAGAS_PROG_ESP_NOTURNO|QT_VAGAS_PROG_ESP_EAD|QT_VAGAS_PRINCIPAL_INTEGRAL|QT_VAGAS_PRINCIPAL_MATUTINO|QT_VAGAS_PRINCIPAL_VESPERTINO|QT_VAGAS_PRINCIPAL_NOTURNO|QT_VAGAS_PRINCIPAL_EAD|QT_VAGAS_OUTRAS_INTEGRAL|QT_VAGAS_OUTRAS_MATUTINO|QT_VAGAS_OUTRAS_VESPERTINO|QT_VAGAS_OUTRAS_NOTURNO|QT_VAGAS_OUTRAS_EAD|QT_VAGAS_ANUAL_INTEGRAL|QT_VAGAS_ANUAL_MATUTINO|QT_VAGAS_ANUAL_VESPERTINO|QT_VAGAS_ANUAL_NOTURNO|QT_VAGAS_ANUAL_EAD|QT_MATRICULA_TOTAL|QT_CONCLUINTE_TOTAL|QT_INGRESSO_TOTAL|QT_INGRESSO_VAGA_NOVA|QT_INGRESSO_PROCESSO_SELETIVO|QT_VAGA_TOTAL|QT_INSCRITO_TOTAL
2019|1|1|1|105340|51|5103403|1|1|DIREITO|1|0421D01|1|1|1|1|0|3700|05SEP1952:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1||5.0||5.0||0||1||1070||1563|||0||0|||0||0||||||||||||||||||45||45|||0||0|||0||0|||||||||||||||||447|75|90|87||90|2633
2019|1|1|1|105340|51|5103403|1|2|CIÊNCIAS ECONÔMICAS|1|0311E01|1|1|1|1|0|3000|11OCT1968:00:00:00||0|||||||||||||0|1|0|1||4.0||4.0||0||1||317||566|||0||54|||0||0||||||||||||||||||60||60|||0||8|||0||0|||||||||||||||||323|28|115|107||128|937
2019|1|1|1|105340|51|5103403|1|3|ENGENHARIA CIVIL|1|0732E01|1|1|1|1|0|3960|11OCT1968:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|520|||||0|||||0||||||||||||||||||||55|||||0|||||0||||||||||||||||||||248|45|52|52||55|520
2019|1|1|1|105340|51|5103403|1|6|PEDAGOGIA|1|0113P01|2|1|1|1|0|3545|15SEP1970:00:00:00||1|1|1|1|0|1|0|0|1|1|1|1|1|0|1|1|0||4.0|4.0|||1|10.00|1||761|661||||0|0||||0|0|||||||||||||||||||50|50||||0|0||||0|0||||||||||||||||||331|53|98|97||100|1422
2019|1|1|1|105340|51|5103403|1|7|SERVIÇO SOCIAL|1|0923S01|1|1|1|1|0|3204|09MAR1970:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0||4.0||||0||1||1215|||||24|||||0||||||||||||||||||||83|||||16|||||0|||||||||||||||||||274|32|97|81||99|1239
2019|1|1|1|105340|51|5103403|1|8|CIÊNCIAS CONTÁBEIS|1|0411C01|1|1|1|1|0|3024|27FEB1971:00:00:00||0|||||||||||||0|1|0|1||4.0||4.0||0||1||407||831|||0||0|||0||0||||||||||||||||||43||43|||0||0|||0||0|||||||||||||||||296|33|83|83||86|1238
2019|1|1|1|105340|51|5103403|1|9|AGRONOMIA|1|0811A04|1|1|1|1|0|4778|14NOV1974:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|915|||||0|||||0||||||||||||||||||||86|||||0|||||0||||||||||||||||||||382|41|81|81||86|915
2019|1|1|1|105340|51|5103403|1|10|ENGENHARIA FLORESTAL|1|0821E01|1|1|1|1|0|4364|14NOV1974:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|533|||||21|||||0||||||||||||||||||||86|||||12|||||0||||||||||||||||||||363|35|94|84||98|554
2019|1|1|1|105340|51|5103403|1|12|MEDICINA|1|0912M01|1|1|1|1|0|8822|03NOV1978:00:00:00||1|1|1|1|0|1|0|1|1|0|0|1|1|1|0|0|0|6.0|||||1|10.00|1|3165|||||71|||||0||||||||||||||||||||80|||||1|||||0||||||||||||||||||||490|66|73|71||81|3236
2019|1|1|1|105340|51|5103403|1|13|ADMINISTRAÇÃO|1|0413A01|1|1|1|1|0|3416|14NOV1974:00:00:00||1|0|1|0|1|0|0|0|1|0|0|0|1|0|1|0|1||4.0||4.0||1|7.49|1||891||1415|||0||0|||0||0||||||||||||||||||63||63|||0||0|||0||0|||||||||||||||||443|71|120|120||126|2306
2019|1|1|1|105340|51|5103403|1|15|GEOLOGIA|1|0532G02|1|1|1|1|0|3776|08OCT1975:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|294|||||9|||||0||||||||||||||||||||43|||||5|||||0||||||||||||||||||||162|18|44|39||48|303
2019|1|1|1|105340|51|5103403|1|16|ENGENHARIA ELÉTRICA|1|0713E05|1|1|1|1|0|3840|08OCT1975:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.5|||||0||1|526|||||0|||||0||||||||||||||||||||84|||||0|||||0||||||||||||||||||||354|29|81|80||84|526
2019|1|1|1|105340|51|5103403|1|17|ENFERMAGEM|1|0913E01|1|1|1|1|0|4272|08OCT1975:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|4.5|||||0||1|1212|||||70|||||0||||||||||||||||||||60|||||8|||||0||||||||||||||||||||253|43|67|59||68|1282
